adresse;code postal;nom;longitude;latitude
41 rue Saint Vulfran;80100 ABBEVILLE;DARTY ABBEVILLE;1.8302585;50.1046295
ZAC Agen Sud Centre Commercial du Midi;47000 AGEN;DARTY AGEN;0.6173103;44.184696
Parc Commercial de la Tremblaye;50180 AGNEAUX;DARTY SAINT LO;-1.131453;49.109152
787 Route de Nimes;30220 AIGUES-MORTES;DARTY AIGUES MORTES;4.1969024;43.5759151
ZAC de la Pioline Les Milles;13290 AIX EN PROVENCE;DARTY AIX-EN-PROVENCE;5.4011455;43.5066435
Route de Mezzavia CC Mezzavia;20167 AJACCIO;DARTY AJACCIO;8.7767478;41.949192
57 RUE AMBROISE CROIZAT;73200 ALBERTVILLE;DARTY ALBERTVILLE;6.3679091;45.6580023
ZAC de FONLABOUR;81000 ALBI;DARTY ALBI;2.108345;43.9199901
Quartier du Mas d'Hours;30100 ALES;DARTY ALES;4.095972;44.1103417
960 Rue du Maquis Albert De Dion;01500 AMBERIEU EN BUGEY;DARTY AMBERIEU EN BUGEY;5.3409395;45.9647038
8, rue Alberes, lieu dit mas alday;66110 AMELIE LES BAINS PALALDA;DARTY AMELIE-LES-BAINS;2.6783392;42.481707
Rue Velasquez Centre Commercial Nord;80080 AMIENS;DARTY AMIENS;2.3006571;49.9225753
1522, Avenue dAntibes;45200 AMILLY;DARTY MONTARGIS;2.732189;47.9731113
ZAC des Pres Parc des expositions;90400 ANDELNANS;DARTY BELFORT;6.8604255;47.6083051
2 rue des Esserts Zone industrielle du Mont Blanc;74100 ANNEMASSE;DARTY ANNEMASSE;6.2642354;46.1979026
Avenue Pre Robert Sud;74200 Anthy sur Leman;DARTY THONON;6.435102;46.350743
2140 Route de Grasse;06600 ANTIBES;DARTY ANTIBES;7.0863206;43.6008444
Centre Commercial du Val de Drome - lieu dit Mi Voie - CD93;26400 AOUSTE SUR SYE;DARTY CREST;5.0358849;44.7218038
ZA LE GRAND CHAMP;38140 APPRIEU;DARTY APPRIEU;5.4256855;45.3443555
59 Avenue de Lancon;84400 APT;DARTY APT;5.3836081;43.8813358
903 rue du point B;01100 ARBENT;DARTY OYONNAX;5.6637444;46.2851413
Zone commerciale le petit coudray;72610 ARCONNAY;DARTY ALENCON;0.0884437;48.4061573
les Portes d'Arcueil Centre Commercial regional la vache noire;94110 ARCUEIL;DARTY ARCUEIL;2.3287433;48.8110302
81 rue Hector Berlioz, Route de Caen;61200 ARGENTAN;DARTY ARGENTAN;-0.0326022;48.7513611
ZAC FOURCHON SUD- AVENUE DU MARECHAL JUIN;13200 ARLES;DARTY ARLES;4.6348719;43.664319
Zone Auchan Longuenesse (a cote du CCV et de lIncroyable);62510 ARQUES;DARTY SAINT OMER;2.2783203;50.731894
104 avenue Winston Churchill;62000 ARRAS;DARTY ARRAS;2.7368061;50.3012219
ZAC de la Martelle ZI Les Paluds;13400 AUBAGNE;DARTY AUBAGNE;5.591796;43.291123
Zone artisanale du Moulon - Rue de la Sardonne;07200 AUBENAS;DARTY AUBENAS;4.4035183;44.6168299
6 rue Emile Reynaud;93300 AUBERVILLIERS;DARTY DESTOCKAGE LA VILLETTE;2.3877474;48.9016397
ZAC AUGNY 2000;57685 AUGNY;DARTY AUGNY METZ;6.1062071;49.0777726
Haut de Galy Centre Commercial Parinor;93600 AULNAY-SOUS-BOIS;DARTY PARINOR;2.4752283;48.9566504
ZAC Porte Oceane, 7 rue du Portugal;56400 AURAY;DARTY AURAY;-3.0079036;47.667014
146 Avenue du General Leclerc;15000 AURILLAC;DARTY AURILLAC;2.4511499;44.9053811
74 Avenue Haussmann;89000 AUXERRE;DARTY AUXERRE;3.5741702;47.8153561
160 avenue Marcou Delanglade;84000 Avignon;DARTY AVIGNON SUD;4.8683936;43.9205778
Zone commerciale Chateau Gaillard;35470 BAIN DE BRETAGNE;DARTY BAIN DE BRETAGNE;-1.6891057;47.8586609
CENTRE COMMERCIAL LOISIRS;34540 BALARUC LE VIEUX;DARTY BALARUC;3.69181;43.4625116
Rue de la Tuilerie Porte de Gramont;31130 Balma;DARTY TOULOUSE GRAMONT;1.4834038;43.6288851
315 rue Liberte;76360 BARENTIN;DARTY BARENTIN;0.9617828;49.537777
42-44 Avenue du Marechal Soult;64100 BAYONNE;DARTY BAYONNE;-1.4911945;43.4869146
Centre Commercial Atoll;49070 BEAUCOUZE;DARTY ANGERS;-0.6265989;47.4847453
2 avenue Descartes ZAC ST-LAZARE;60000 BEAUVAIS;DARTY BEAUVAIS;2.1138709;49.4090536
Zone artisanale le Gouzet;35137 BEDEE;DARTY MONTFORT SUR MEU;-1.9381679;48.1392357
Centre Commercial Les Rives D'Arcins;33130 BEGLES;DARTY BEGLES;-0.5320417;44.7951189
ZA de l'Ousson;01300 BELLEY;DARTY BELLEY;5.7040295;45.759194
97 avenue Paul Doumer (Route de Marmande);24100 BERGERAC;DARTY BERGERAC;0.4778928;44.8326219
24 Rue de la Semaille;27300 BERNAY;DARTY BERNAY;0.5774819;49.0689853
Rue Rene Char ZAC Chateaufarine;25000 BESANCON;DARTY BESANCON 2;5.9529808;47.2191896
3 rue Picardan;34500 BEZIERS;DARTY BEZIERS;3.265828;43.3405103
61 Rue Jean Jaures;95870 BEZONS;DARTY RETRAIT BEZONS;2.2223943;48.9258556
63 RUE JEAN JAURES;95870 BEZONS;PF BEZONS;2.2216107;48.925792
742 avenue de Bordeaux;47300 BIAS;DARTY VILLENEUVE SUR LOT;0.6810852;44.4041286
Parc commercial les Portes du Delta, 5 rue Louis Nicolas Robert;33380 BIGANOS;FNAC DARTY BIGANOS;-0.9587033;44.6348509
1, AVENUE GEORGES BRASSENS;31700 BLAGNAC;DARTY TOULOUSE BLAGNAC;1.3692017;43.6475739
143-155 avenue Gallieni;93140 BONDY;DARTY BONDY;2.4837024;48.9069984
51 route de Rhinau;67860 BOOFZHEIM;DARTY BOOFZHEIM;7.6896428;48.3289739
1 rue Dugay Trouin;33300 BORDEAUX;DARTY BORDEAUX LE LAC;-0.5610079;44.8783014
Parc d'activites du Ponteix;24330 Boulazac Isle Manoire;DARTY PERIGUEUX;0.762772;45.1857537
122 Avenue du General Leclerc;92100 BOULOGNE BILLANCOURT;DARTY BOULOGNE;2.2320178;48.8306909
27 Boulevard Irene Joliot Curie;01000 BOURG-EN-BRESSE;DARTY BOURG-EN-BRESSE;5.2353656;46.2090965
73 rue Isaac Asimov;38300 BOURGOIN JALLIEU;DARTY BOURGOIN JALLIEU;5.2512903;45.5909344
"Lieu-dit ""Touche Saint Porchaire"" Lotissement ""La Triche""";79300 BRESSUIRE;DARTY BRESSUIRE;-0.453565;46.855461
Route de Gouesnou Rond Point de l'Hermitage;29200 BREST;DARTY BREST;-4.468137;48.426871
Avenue Pierre Mendes-France ZAC du Mazaud;19100 BRIVE LA GAILLARDE;DARTY BRIVE;1.4737137;45.1432459
rue Paul Langevin;69500 BRON;DARTY BRON CHAMP DU PONT;4.9198034;45.7215121
Parc de la Porte Nord;62700 Bruay La Buissiere;DARTY LABUISSIERE;2.5849066;50.493953
Zone des Closeaux Lieu dit les Petits Graviers;78200 BUCHELAY;DARTY MANTES;1.6747177;48.990215
Rue Dessirier ZA Les rives de la Bievre;57400 BUHL-LORRAINE;DARTY SARREBOURG;7.0782816;48.7367582
Plan de Campagne Centre Commercial Barneoud;13480 CABRIES;DARTY PLAN DE CAMPAGNE;5.3609803;43.4166088
332 Route de Toulouse;46000 CAHORS;DARTY CAHORS;1.4397206;44.4231094
10 chemin Petit Centre Commercial Caluire II;69300 Caluire Et Cuire;DARTY CALUIRE;4.858422;45.803229
90 Rue d'Antibes;06400 CANNES;DARTY CANNES II CENTRE VILLE;7.0239302;43.5522842
ZAC Salvaza Rond point de l'autoroute;11000 CARCASSONNE;DARTY CARCASSONNE;2.3075199;43.213334
211 Route de Villasavary CC O'Castel;11400 CASTELNAUDARY;DARTY CASTELNAUDARY;1.9581761;43.2999875
12 rue Albert Calmette;81100 CASTRES;DARTY CASTRES;2.190396;43.5890924
Centre Commercial des 3 Fontaines;95000 CERGY;DARTY CERGY;2.0814273;49.0381463
Espace commercial Les Alizes - Rue Albert Camus;85300 CHALLANS;DARTY CHALLANS;-1.8915147;46.8535163
Rue Thomas Dumorey;71100 CHALON-SUR-SAONE;DARTY CHALON;4.8588424;46.7727089
250 Rue Eugene Ducretet Centre Commercial Chamnord;73000 Chambery;DARTY CHAMBERY 2;5.8963624;45.5938745
11 rue Philippe Maupas;37170 CHAMBRAY-LES-TOURS;DARTY TOURS SUD;0.7004931;47.3369409
Rue Voltaire;02000 CHAMBRY;DARTY LAON;3.6531511;49.5834823
Rue Baronne Delort;39300 CHAMPAGNOLE;DARTY CHAMPAGNOLE;5.907339;46.7486372
Allee de Coat A Noz;35135 CHANTEPIE;DARTY CHANTEPIE;-1.628783;48.085165
4, place de l'Europe;94220 Charenton-le-Pont;DARTY BERCY;2.3935645;48.825591
Rue Paulin Richier ZAC du Bois Fortant La Croisette;08000 CHARLEVILLE-MEZIERES;DARTY CHARLEVILLE MEZIERES;4.7084804;49.7382273
Avenue des Sablons;28000 CHARTRES;DARTY CHARTRES;1.5154266;48.4469483
14 allee du Haut-Poitou;86360 CHASSENEUIL DU POITOU;DARTY POITIERS;0.3618214;46.6479854
Rue Pierre Latecoere Parc du Fief du Roy;16100 CHATEAUBERNARD;DARTY COGNAC;-0.3085452;45.6784706
Centre Commercial Vent d'Ouest, Rue du general PATTON;44110 CHATEAUBRIANT;DARTY CHATEAUBRIANT;-1.3915027;47.7057431
"Lieu-dit ""Les Nouvelles Garennes"" Ancienne RN 10";28200 CHATEAUDUN;DARTY CHATEAUDUN;1.3332443;48.0913483
2 allee d'Argenson;86100 CHATELLERAULT;DARTY CHATELLERAULT;0.5491006;46.8409939
151 avenue de Paris;92320 CHATILLON;DARTY CHATILLON;2.2979695;48.8100599
1235, ZI La Gloriette;38160 CHATTE;DARTY SAINT-MARCELLIN;5.291013;45.1418011
Av. de Pince Vent /Av. de l'Hippodrome;94430 CHENNEVIERES-SUR-MARNE;DARTY ORMESSON;2.5556562;48.7920624
7 Rue Sorel-Tracy Centre Commercial l'Autre Faubourg;49300 CHOLET;DARTY CHOLET;-0.8365567;47.0751452
Les arcades de Claira;66530 CLAIRA;DARTY CLAIRA II;2.9167467;42.7721306
Centre Commercial Regional RN 3;77410 CLAYE-SOUILLY;DARTY CLAYE-SOUILLY;2.6631332;48.9468642
Rue de l'Hermitage Zone La Pardieu;63000 CLERMONT-FERRAND;DARTY CLERMONT-FERRAND;3.1286191;45.7658809
3 Rue de la Clairette, PAE de la Vallee de L'herault;34800 CLERMONT L'HERAULT;DARTY CLERMONT L'HERAULT;3.4513747;43.619794
59 rue Marceau;83310 cogolin;DARTY COGOLIN;6.5346029;43.2473247
Rue des Freres Lumiere;78310 Coignieres;DARTY COIGNIERES;1.935387;48.7567254
Centre Commercial Bay 2;77090 COLLEGIEN;DARTY TORCY;2.661891;48.8382324
2 rue Curie;68000 COLMAR;DARTY COLMAR;7.3641452;48.1083039
2 Rue Rene Madec - ZA de Keramperu;29900 CONCARNEAU;DARTY CONCARNEAU;-3.9153035;47.8905978
Centre Commercial Cite Europe;62231 Coquelles;DARTY CALAIS;1.809074;50.93374
Les Parques Zone Commerciale;51350 CORMONTREUIL;DARTY REIMS CORMONTREUIL;4.0438435;49.2141457
3 rue des Margats;77120 COULOMMIERS;DARTY COULOMMIERS;3.0930984;48.8089201
65 B, avenue de la Division Leclerc;50200 Coutances;DARTY COUTANCES;-1.4344003;49.0618075
Rue du Beaujolais;71680 CRECHES-SUR-SAONE;DARTY MACON;4.79154;46.251227
Centre Commercial Creteil Soleil;94000 CRETEIL;DARTY CRETEIL;2.4562371;48.7796448
Centre Commercial Villiers en Biere;77190 DAMMARIE-LES-LYS;DARTY VILLIERS EN BIERE;2.5840973;48.4994887
740 Route de Lyon ZI La Lombardiere;07430 davezieux;DARTY DAVEZIEUX;4.6929861;45.2555352
route de Paris, 1 rue Truffaut;14800 DEAUVILLE;DARTY DEAUVILLE;0.08769;49.3553184
ZAC du Luc;59187 DECHY;DARTY DOUAI DECHY;3.1073218;50.3426939
125 Av des canadiens Centre commercial Le Belvedere;76200 DIEPPE;DARTY DIEPPE;1.0780764;49.9090357
Quartier de Pouilly Centre Commercial la Toison d'Or;21000 DIJON;DARTY DIJON TOISON D'OR;5.0510814;47.3569781
CC ZAC du Champs Blanchard, rue de l'europe;49400 DISTRE;DARTY SAUMUR;-0.1198119;47.23164
Rue Leon Bel - Zone Commerciale Les Epenottes;39100 DOLE;DARTY DOLE;5.5102698;47.1091844
15 rue Pomone ZAC de la Gouille des sauges;25300 DOUBS;DARTY PONTARLIER;6.3443192;46.9219354
35 BOULEVARD GENERAL LECLERC;83300 DRAGUIGNAN;DARTY DRAGUIGNAN;6.4618115;43.5353799
Rue Henry Potez Zone Artisanale Nord Champtier du Colombier;28100 Dreux;DARTY DREUX;1.350912;48.7514566
2 impasse du Rocher - ZAC de Comboire;38130 ECHIROLLES;DARTY COMBOIRE;5.6913897;45.1483936
ZAC Eurotransit Garolor rue Alexandre Borrely;57365 ENNERY;PF ENNERY;6.21578;49.2298282
42 rue des Peupliers;74330 Epagny Metz Tassy;DARTY ANNECY;6.0820443;45.9351779
ZAC des Terres Saint Jean;88000 EPINAL;DARTY EPINAL;6.4749277;48.1902165
Zac des landes, Avenue du Cagire;31800 ESTANCARBON;DARTY SAINT GAUDENS;0.764274;43.117959
ZAC du Bois Bourdon Rue des Epinants;91150 ETAMPES;DARTY ETAMPES;2.1425197;48.4419632
Centre Commercial Forum de Picardie N 4;02100 FAYET;DARTY SAINT-QUENTIN;3.2557644;49.8607774
ZAC de Frocourt Parc Commercial Cora Houdemont;54710 FLEVILLE DEVANT NANCY;DARTY NANCY FLEVILLE;6.1860124;48.6367475
Rue Louis Auber;85200 FONTENAY-LE-COMTE;DARTY FONTENAY LE COMTE;-0.8010829;46.4499565
ZI Carrefour de l'Europe RN 3;57600 FORBACH;DARTY FORBACH;6.8829939;49.1764538
14 allee de l'Abreuvoir;94260 FRESNES;DARTY FRESNES;2.3285742;48.7560929
"45 Avenue Bernard GIVAUDAN - Lieu Dit ""LAGAY""";05000 GAP;DARTY GAP;6.0632525;44.5359047
106 avenue du Vieux Chemin de Saint Denis;92230 GENNEVILLIERS;DARTY GENNEVILLIERS;2.3191711;48.9314408
Centre Commercial 75 Rte des Vertes Campagnes;01170 GEX;DARTY GEX;6.05431;46.3249347
Rue du Faubourg de Neaufles CC Les Templiers;27140 GISORS;DARTY GISORS;1.760363;49.276724
Centre Commercial 2 Vallees;69700 GIVORS;DARTY GIVORS;4.7532481;45.5841879
1235 route de Villedieu Zone du Taillais;50400 GRANVILLE;DARTY GRANVILLE;-1.5438576;48.8380493
174 Route de Cannes;06130 GRASSE;DARTY GRASSE;6.9518641;43.6333693
57 avenue de l'Europe;23000 GUERET;DARTY GUERET;1.8771709;46.1805288
Boulevard Peripherique;27930 GUICHAINVILLE;DARTY EVREUX;1.1752682;49.0138266
Centre Commercial Englos;59320 HAUBOURDIN;DARTY ENGLOS;2.9688254;50.6321722
Route de Metz - Zac d'Haudainville;55100 HAUDAINVILLE;DARTY VERDUN;5.4104211;49.1417616
Parc d'Activite de la Creule;59190 HAZEBROUCK;DARTY HAZEBROUCK;2.550584;50.738669
ZAC du bord des Eaux;62110 HENIN BEAUMONT;DARTY HENIN BEAUMONT;2.9694561;50.4071779
65 avenue des Sports;44410 HERBIGNAC;DARTY HERBIGNAC;-2.3273149;47.4427634
9 mail des Copistes ZAC des copistes;95220 HERBLAY;DARTY HERBLAY;2.1883416;49.0000352
ZA La Pyreneenne;65420 IBOS;DARTY TARBES;0.018231;43.239624
14 avenue Pierre Mendes France;63500 ISSOIRE;DARTY ISSOIRE;3.2612135;45.5513
Avenue des Freres Renault Centre Commercial Auchan;72650 LA CHAPELLE ST AUBIN;DARTY LE MANS;0.1728962;48.0397751
281 rue Emile Bodin Centre commercial Ciotat Park;13600 La Ciotat;DARTY LA CIOTAT;5.6042812;43.1885459
Centre Commercial Chante Merle Tuilerie rue de la couronne;16400 LA COURONNE;DARTY ANGOULEME;0.106907;45.620923
Espace du Lac, Avenue Jean Monnet;72400 LA FERTE BERNARD;DARTY LA FERTE BERNARD;0.651712;48.17924
Parc d'Activite de la Monnerie - allee Gabares;72200 LA FLECHE;DARTY LA FLECHE;-0.0499611;47.7030255
RD 1082;42480 LA FOUILLOUSE;DARTY ST ETIENNE LA FOUILLOUSE;4.3480572;45.4826216
Rue du parc d'Activites;50470 La Glacerie;DARTY CHERBOURG;-1.6039466;49.6031937
ZAC du Carrousel - Route de Lessay;50250 La Haye;DARTY LA HAYE-DU-PUITS;-1.5390101;49.278928
Route de Brumath;67450 LAMPERTHEIM;DARTY STRASBOURG LAMPERTHEIM;7.7261959;48.6411176
220 rue Youri Gagarine Zone Commerciale GEANT;56600 LANESTER;DARTY LORIENT;-3.3410441;47.7739346
Centre commercial de Moleon;33210 LANGON;DARTY LANGON;-0.2540523;44.5437051
3 rue des Grignons Zone Commerciale Carrefour;22360 LANGUEUX;DARTY SAINT-BRIEUC;-2.7308989;48.4960824
Centre commercial les Flaneries;85000 LA ROCHE SUR YON;DARTY LA ROCHE SUR YON;-1.4328371;46.6980832
68 rue Lagrua;33260 LA TESTE DE BUCH;DARTY ARCACHON LA TESTE;-1.1568493;44.6426357
28 rue du Petit Montron Parc de lHabitat;53000 LAVAL;DARTY LAVAL;-0.7971189;48.0827235
23, avenue des Freres Lumiere;83160 La Valette Du Var;DARTY TOULON;6.0002585;43.1362769
18 avenue de la resistance;54520 LAXOU;DARTY LAXOU;6.1285175;48.6948492
Av Charles de Gaulle Centre Commercial Parly 2;78150 LE CHESNAY;DARTY PARLY 2;2.1163488;48.8279546
ZAC de la Pilais;35133 LECOUSSE;DARTY FOUGERES;-1.233547;48.35216
Avenue Emile Basly;76120 LE GRAND QUEVILLY;PF ROUEN GRAND QUEVILLY;1.0311864;49.407736
41 avenue du President Coty;76600 LE HAVRE;DARTY LE HAVRE;0.1105562;49.4970441
1 ROUTE DE PARIS;60330 LE PLESSIS-BELLEVILLE;PF PLESSIS-BELLEVILLE;2.7461981;49.0946558
123 avenue Isaac Newton;84130 LE PONTET;DARTY AVIGNON LE PONTET;4.8768138;43.9806093
5, rue du Pre Malenpogne - Zone Artisanal du Poull'GO;44510 LE POULIGUEN;DARTY LE POULIGUEN;-2.4428574;47.274403
Avenue Jean Jaures;64230 LESCAR;DARTY PAU;-0.4292103;43.3176036
Avenue de la Tibourgere;85500 LES HERBIERS;DARTY LES HERBIERS;-1.0179645;46.8790695
Centre Commercial Ulis 2;91940 LES ULIS;DARTY LES ULIS;2.1715273;48.6767939
Boulevard de Tournai, Centre Commercial Heron Parc;59260 LEZENNES;DARTY VILLENEUVE D'ASCQ;3.124978;50.6148314
Route de Castillon, Avenue du general de Gaulle;33500 LIBOURNE;DARTY LIBOURNE;-0.2210959;44.901918
Centre Commercial Carre Senart 3 allee du Preambule;77127 LIEUSAINT;DARTY CARRE SENART;2.5473445;48.6142751
Rue du Sec Arembault;59000 LILLE;DARTY LILLE;3.0657897;50.6355999
Family village 30 rue amedee Gordini Zone nord 3;87280 LIMOGES;DARTY LIMOGES;1.2838662;45.8943476
Rue de sans soucis;69760 LIMONEST;DARTY DESTOCKAGE LYON;4.7760192;45.806061
Rue de sans soucis;69760 LIMONEST;DARTY LIMONEST;4.7760192;45.806061
