adresse;code postal;nom;longitude;latitude
2 rue des Mathurins;14100 LISIEUX;DARTY LISIEUX;0.2242262;49.1452313
Centre commercial le Grand Val;95290 L'ISLE ADAM;DARTY L'ISLE ADAM;2.2445192;49.125894
Rue Jules Gallois Centre Commercial;59720 LOUVROIL;DARTY MAUBEUGE;3.9340506;50.2572663
"Avenue du Marechal Juin - ""La Ferme Neuve""";85400 LUCON;DARTY LUCON;-1.140121;46.4599057
14 RUE DES PLATANES ZI DES CLOYES;70200 LURE;DARTY LURE;6.5196304;47.6839963
Centre Commercial La Part Dieu - 3eme niveau;69003 LYON;DARTY LA PART DIEU;4.8570443;45.7617655
Rue Jean de la Fontaine Centre Commercial carre;42300 MABLY;DARTY ROANNE;4.0598172;46.0679758
Allee Louis Bleriot Parc d'activites de l'Echangeur;06210 Mandelieu La Napoule;DARTY CANNES MANDELIEU;6.9530449;43.555523
131 Avenue Lyautey - Parc d'activite la provencale;06210 MANDELIEU LA NAPOULE;DARTY CANNES CUISINE;6.9457616;43.552815
702 AVENUE DU MOULIN NEUF ZI SAINT JOSEPH;04100 MANOSQUE;DARTY MANOSQUE;5.7988162;43.8266278
RN113 Avenue Francois Mitterand;47200 MARMANDE;DARTY MARMANDE;0.1375514;44.5105495
26 avenue Jules Cantini;13006 MARSEILLE;DARTY MARSEILLE CANTINI;5.3864707;43.2841933
Route de la Sabliere Centre Commercial Valentine;13011 MARSEILLE;DARTY MARSEILLE LA VALENTINE;5.4767582;43.2916987
9 Quai du LAZARET;13002 MARSEILLE;DARTY MARSEILLE - LES TERRASSES DU PORT;5.3651968;43.3064626
Route de Fourchambault Centre Commercial CARREFOUR;58180 MARZY;DARTY NEVERS;3.106766;46.996648
CC SUP 2000, Rue Henri Pourrat;15200 MAURIAC;DARTY MAURIAC;2.338976;45.216506
Route de Bray, RD 329, Centre Commercial Bellevue;80300 MEAULTE;DARTY ALBERT-MEAULTE;2.6573654;49.9925606
Pole d'Activites Kervidanou 3;29300 MELLAC;DARTY QUIMPERLE;-3.5856873;47.8695548
ZAC de Ramilles - Chemin de Ramilles;48000 MENDE;DARTY MENDE;3.4796304;44.5153673
Centre Commercial Merignac Soleil;33700 MERIGNAC;DARTY MERIGNAC;-0.6566023;44.8288033
CC La Capelle Guibert - 49 rue du Rajol;12100 MILLAU;DARTY MILLAU;3.0816364;44.1005163
705 rue de la Megere Parc Commercial du Chasselas;82200 MOISSAC;DARTY MOISSAC;1.1184363;44.1197029
Route de Paris - N13;14120 MONDEVILLE;DARTY CAEN MONDEVILLE;-0.3153134;49.1672274
915 route du Nord Parc Commercial d'Aussonne;82000 MONTAUBAN;DARTY MONTAUBAN;1.3831181;44.040694
Zac du Pied des Gouttes 2 rue Jean-Baptiste Pertois;25200 MONTBELIARD;DARTY MONTBELIARD;6.8135988;47.5014501
ZA des Granges 4 allee Jean 1er du Forez;42600 MONTBRISON;DARTY MONTBRISON;4.0823619;45.5954263
Centre commercial Ste-Elisabeth;71300 MONTCEAU-LES-MINES;DARTY MONTCEAU-LES-MINES;4.361723;46.6885311
Route de Marseille Centre Commercial Soleil Levant;26200 MONTELIMAR;DARTY MONTELIMAR;4.7486915;44.5315446
rue du Clos Rose Zone Commerciale Clos du Chene;77144 MONTEVRAIN;DARTY LE CLOS DU CHENE;2.7560725;48.8536571
Centre commercial Grand Havre - La lezarde;76290 MONTIVILLIERS;DARTY LE HAVRE - MONTIVILLIERS;0.1909205;49.5267721
15 rue Albert Einstein;03100 MONTLUCON;DARTY MONTLUCON;2.6019854;46.3496057
Zone commercial la Saline Arc en sel - Rue de la Valliere;39570 MONTMOROT;DARTY LONS LE SAUNIER;5.5377305;46.6747122
Centre commercial Odysseum;34000 Montpellier;DARTY MONTPELLIER ODYSSEUM;3.920693;43.60378
51 rue de Montlhery;91390 MORSANG SUR ORGE;DARTY MORSANG;2.3415471;48.6608318
Centre Commercial Rue du Bief;25500 MORTEAU;DARTY MORTEAU;6.6164993;47.0576057
261 Rue de Belfort LE TRIDENT;68200 MULHOUSE;DARTY MULHOUSE DORNACH;7.2901017;47.7364585
Zone Commerciale Espace Littoral;56190 MUZILLAC;DARTY MUZILLAC;-2.508659;47.559373
18 Rue POLLET;11100 NARBONNE;DARTY NARBONNE;3.0285862;43.1764215
Lieu dit guillemes bas, route de Bordeaux;47600 NERAC;DARTY NERAC;;
2 Rue la Grande Flandre;76270 NEUFCHATEL EN BRAY;DARTY NEUFCHATEL EN BRAY;1.4344168;49.7321236
"Centre commercial ""Promenade de Flandres""";59960 NEUVILLE-EN-FERRAIN;DARTY RONCQ;3.1447339;50.7431428
822 Route d'Annecy;74160 NEYDENS;DARTY SAINT JULIEN EN GENEVOIS;6.0941474;46.1207706
604 Route de Grenoble RN 202 Forum Lingostiere;06200 NICE;DARTY NICE LINGOSTIERE;7.1897782;43.7270874
28 avenue Notre-Dame;06000 NICE;DARTY NICE NORD NOTRE DAME;7.2666766;43.7037237
PARC D'ACTIVITES LOGISTIQUES Zone 7;06200 Nice Saint Isidore;PF NICE SAINT ISIDORE;7.208221;43.71352
80 Rue du Pere BROTTIER;30900 NIMES;DARTY NIMES;4.3480835;43.8186097
Espace Mendes France, 9 rue Robert Turgot;79000 NIORT;DARTY NIORT;-0.4106925;46.3334903
234 Boulevard du Mont d'Est;93160 NOISY-LE-GRAND;DARTY MARNE-LA-VALLEE;2.5481839;48.8398809
25 Rue de Guyenne ZAC Les Provinces;45160 OLIVET;DARTY OLIVET;1.9159837;47.8400569
Quartier Quiez;83190 OLLIOULES;DARTY OLLIOULES;5.8767576;43.127637
15 Rue du Compagnonnage;85340 Olonne sur Mer;DARTY LES SABLES D'OLONNE;-1.7805925;46.5129148
Lot C La Gravette, 6 rue Frederic Aries;64400 OLORON SAINTE MARIE;DARTY OLORON SAINTE MARIE;-0.61709;43.1809966
Pole Commercial Le Comtal Sud;12850 ONET LE CHATEAU;DARTY RODEZ;2.6041436;44.3940263
Zone Commerciale des Soarns;64300 ORTHEZ;DARTY ORTHEZ;-0.7425136;43.4753384
242 route de Vannes;44700 ORVAULT;DARTY NANTES;-1.5998187;47.2449899
ZA Le Village - RN 4;67700 Otterswiller;DARTY SAVERNE;7.3747865;48.7287303
ZAC du Chandelet - Avenue de la Bouriette;09100 PAMIERS;DARTY PAMIERS;1.6304774;43.1113842
12 rue Linois;75015 PARIS;DARTY BEAUGRENELLE;2.2822428;48.8485543
25 boulevard de Belleville;75011 PARIS;DARTY BELLEVILLE;2.3805366;48.8685527
29 Rue Neuve Tolbiac;75013 PARIS;DARTY BIBLIOTHEQUE NATIONALE DE FRANCE;2.3776461;48.8304509
Place de la Madeleine parking tronchet;75008 PARIS;DARTY LA MADELEINE;2.32472;48.8711459
2 porte Pont-Neuf;75001 PARIS;DARTY LES HALLES;2.3451289;48.861933
56 boulevard de Rochechouart;75018 PARIS;DARTY MONTMARTRE;2.3454567;48.8834495
68 avenue du Maine;75014 PARIS;DARTY MONTPARNASSE;2.3215945;48.8387031
21 cours de Vincennes;75020 PARIS;DARTY NATION;2.4012633;48.8484002
92 Avenue Paul Doumer;75016 PARIS;DARTY PASSY;2.2758245;48.8588171
1 avenue de la Republique;75011 PARIS;DARTY REPUBLIQUE;2.3660679;48.8671134
125 Avenue de Saint Ouen;75017 PARIS;DARTY SAINT OUEN;2.3281801;48.8959398
8 avenue des Ternes;75017 PARIS;DARTY TERNES;2.2962671;48.8783972
Centre Commercial LECLERC - Boulevard de l'Europe;79200 PARTHENAY;DARTY PARTHENAY;-0.222227;46.6481313
Parc de Choisy, RN 85;04200 PEIPIN;DARTY SISTERON PEIPIN;5.9652717;44.1430163
avenue Georges Freche;34470 PEROLS;DARTY MONTPELLIER PEROLS;3.9462675;43.5725132
925 Avenue d'Espagne;66100 PERPIGNAN;DARTY PERPIGNAN;2.8942719;42.6804027
Centre Commercial Auchan;59494 PETITE-FORET;DARTY VALENCIENNES;3.4793401;50.3762947
Rue Flora Tristan,ZAC de Senives;45300 Pithiviers;DARTY PITHIVIERS;2.2499102;48.1882738
Zone Commerciale Grand Plaisir Rue Francis Carco;78370 PLAISIR;DARTY PLAISIR;1.9667513;48.8266997
Rue de la Moricais;56800 Ploermel;DARTY PLOERMEL;-2.3879979;47.9305098
Allee du Breuil CC le Breuil;54700 Pont-a-Mousson;DARTY PONT A MOUSSON;6.059808;48.9204658
Rue de St Ulfrant;27500 PONT-AUDEMER;DARTY PONT-AUDEMER;0.5489629;49.3425357
Rue Monthety;77340 PONTAULT-COMBAULT;DARTY PONTAULT-COMBAULT;2.6055536;48.7778322
5, rue Mathurin Onno;56300 PONTIVY;DARTY PONTIVY;-2.9604747;48.0547226
"route de Plomeur, parking ""Les Briconautes""";29120 PONT L'ABBE;DARTY PONT L'ABBE;-4.2441478;47.8540484
Zone Commerciale les Gentelleries, route de Nantes;44210 PORNIC;DARTY PORNIC;-2.0705346;47.1120589
RN 20 - 1 avenue des Palanques;31120 PORTET SUR GARONNE;DARTY PORTET;1.4059453;43.5318515
La Riviere de Meymes;46220 PRAYSSAC;DARTY PRAYSSAC;1.1697824;44.5058988
Avenue Marc Seguin;07000 PRIVAS;DARTY PRIVAS;4.608467;44.718457
ZAC du Faubourg de Paris, rue Rene Descartes;59267 PROVILLE;DARTY CAMBRAI;3.2164085;50.1481369
Quartier Les Salles Centre commercial RN 7;83480 PUGET-SUR-ARGENS;DARTY PUGET/ARGENS;6.7032041;43.4451642
3 rue de Belgique;17138 PUILBOREAU;DARTY LA ROCHELLE;-1.1233727;46.175632
2 Parvis de la Defense Centre Commercial des 4 Temps;92800 PUTEAUX;DARTY LA DEFENSE;2.2359786;48.890302
13C Boulevard du Grand Marche;21800 QUETIGNY;DARTY QUETIGNY;5.1014271;47.3089663
ZAC des Vignes - Rue de Guinefort;22100 Quevert;DARTY DINAN;-2.0710107;48.4446751
5 rue de Gourvily ZAC de Gourvily;29000 QUIMPER;DARTY QUIMPER;-4.083975;48.015643
rue Gustave Eiffel- Centre commercial Bel Air;78120 RAMBOUILLET;DARTY RAMBOUILLET;1.8272168;48.625096
CC Intermarche, CD 917 Route de Berck;62180 RANG-DU-FLIERS;DARTY RANG DU FLIERS;1.610602;50.414797
7 avenue Jean Baptiste Lelievre;35600 REDON;DARTY REDON;-2.0700924;47.6687053
83 Avenue de Clermont;63200 RIOM;DARTY RIOM;3.1162626;45.8776969
CC des Quatr'Anes zone de Villeneuve Montigny;17300 ROCHEFORT;DARTY ROCHEFORT;-0.9805981;45.952846
ZONE DE MONTPLAIN;15100 ROFFIAC;DARTY SAINT FLOUR;3.0559222;45.0387592
Avenue du General de Gaulle Centre Commercial Rosny 2;93110 ROSNY-SOUS-BOIS;DARTY ROSNY;2.4776141;48.883567
16 Avenue des Drapeaux, Chemin Croix Vautier;14740 Rots;DARTY CAEN ROTS;-0.4526653;49.1986207
33 Rue Jeanne d'Arc;76000 Rouen;DARTY ROUEN RIVE DROITE;1.0904809;49.4422483
47 avenue de Caen;76100 ROUEN;DARTY ROUEN RIVE GAUCHE;1.0743378;49.4286775
78 RUE DE LA MARTINIERE RN 512;73230 Saint Alban Leysse;DARTY CHAMBERY 1;5.9513626;45.5722812
Zone Parc d'Aquitaine, 240 Avenue Boucicaut, lot 11;33240 SAINT ANDRE DE CUBZAC;DARTY SAINT ANDRE DE CUBZAC;-0.4360608;45.0110642
Av Robert Schumann ZAC des Perruches;95350 SAINT BRICE SOUS FORET;DARTY SAINT BRICE;2.3522094;49.008016
2 Rue de la Gaillarde, ZAC La Gaillarde;89100 SAINT CLEMENT;DARTY SENS;3.277822;48.2153542
ZAC d'Hellieule 5 Rue Marcel Mauss;88100 SAINT DIE DES VOSGES;DARTY SAINT DIE DES VOSGES;6.9320388;48.2957247
4 Rue des Petits Champs;91700 Sainte-Genevieve-des-Bois;DARTY SAINTE GENEVIEVE DES BOIS;2.3483353;48.6244035
30 RUE DU BREUIL;17220 SAINTE SOULLE USSEAU;PF SAINTE SOULLE;-1.032947;46.203591
140 RUE DE LA MONTAT Centre Commercial de Monthieu;42000 SAINT ETIENNE;DARTY ST-ETIENNE MONTHIEU;4.4236005;45.4397843
18 rue des Plaines;17810 SAINT-GEORGES-DES-COTEAUX;DARTY SAINTES;-0.6786617;45.7501635
992 bd de la Prairie, Espace 23 Nord;44150 SAINT-GEREON;DARTY ANCENIS;-1.2003286;47.3751879
Rue France III Zone de la Sacristinerie;17400 SAINT JEAN D'ANGELY;DARTY SAINT JEAN D'ANGELY;-0.5068853;45.94416
17 rue de la Batardiere;45140 SAINT JEAN DE LA RUELLE;PF ORLEANS SAINT JEAN DE LA RUELLE;1.8601408;47.907262
Les Voiles de Saint Leonard, 1820 Route du Havre;76400 SAINT LEONARD;DARTY FECAMP A SAINT LEONARD;0.3665349;49.7273369
Avenue de la Flaudais Centre Commercial La Madeleine;35400 Saint-Malo;DARTY SAINT MALO;-1.9935557;48.6243317
Rue des Chaumes;27950 SAINT MARCEL;DARTY VERNON A SAINT MARCEL;1.45561;49.101241
ZAC MontJoie;62280 Saint Martin Boulogne;DARTY BOULOGNE SUR MER;1.6427181;50.7279251
Rue Kerelisa;29600 Saint Martin des Champs;DARTY MORLAIX;-3.8560543;48.5728447
Av Occitanie Zone Commerciale St Maur Cap Sud;36250 SAINT-MAUR;DARTY CHATEAUROUX;1.654897;46.7816334
Rue de la liberte ZAC du Bois des Fenetres;60740 SAINT-MAXIMIN;DARTY CREIL;2.4692089;49.2401439
Avenue du President Roosevelt Zone Mercuria;51470 SAINT MEMMIE;DARTY CHALONS;4.3882234;48.9446308
ZAC des Etangs rue des Roseaux;13920 Saint Mitre Les Remparts;DARTY MARTIGUES - SAINT MITRE LES REMPARTS;5.0366041;43.4371791
Centre Commercial Grand Mail 2, 980 boulevard Saint Vincent de Paul;40990 Saint Paul les Dax;DARTY DAX;-1.0410592;43.7308146
CENTRE COMMERCIAL LE GRAND MOUN;40280 SAINT PIERRE DU MONT;DARTY MONT DE MARSAN;-0.4795597;43.8647335
211 Route de Grenoble;69800 SAINT-PRIEST;DARTY SAINT-PRIEST MI PLAINE;4.9639251;45.7139814
Zone commerciale de Keringant;22700 SAINT-QUAY-PERROS;DARTY LANNION;-3.450588;48.7654328
ZA Les Rives du Lac, Rue du Pont de Bois;29290 SAINT RENAN;DARTY SAINT RENAN;-4.6127675;48.427053
5 bis rue de Walt Disney Centre Commercial St Seb' Boulevard;44230 SAINT SEBASTIEN SUR LOIRE;DARTY NANTES ST-SEBASTIEN;-1.4922231;47.1938203
1, lieu dit le Hameau de la Riviere;14400 SAINT VIGOR LE GRAND;DARTY BAYEUX;-0.695955;49.284798
165 route Nationale 7;38150 SALAISE SUR SANNE;DARTY SALAISE SUR SANNE;4.8069593;45.3419644
95 rue de verdun CC LE Warens;74700 SALLANCHES;DARTY SALLANCHES;6.6304843;45.9515002
RN20 Rue de la Tuilerie;45770 Saran;DARTY SARAN;1.8914655;47.9567797
Route Abbe Breuil CC Carrefour;24200 SARLAT LA CANEDA;DARTY SARLAT;1.2122227;44.9029142
2 Rue du Marechal Kellermann ZAC Neunkirch;57200 SARREGUEMINES;DARTY SARREGUEMINES;7.0918206;49.1138006
Rue Jean-Pierre Timbaud Zone Commerciale du Plateau;78500 SARTROUVILLE;DARTY SARTROUVILLE;2.2015084;48.9499315
3 Place de Geisselbronn,;67590 SCHWEIGHOUSE SUR MODER;DARTY HAGUENAU;7.7418819;48.8329711
Autoroute A4 Zone Euromoselle;57280 SEMECOURT;DARTY SEMECOURT;6.1488462;49.1920712
7 avenue Charles de Refuge;10120 ST ANDRE LES VERGERS;DARTY TROYES;4.0548836;48.2817436
Centre Commercial Trifontaine Lotissement les cedres;34980 ST-CLEMENT-DE-RIVIERE;DARTY MONTPELLIER SAINT CLEMENT;3.8470593;43.6490629
565 Route de la Charite;18390 St Germain du Puy;DARTY BOURGES;2.44702;47.0952148
Route de Saint-Malo ZAC de l'Auge de Pierre;35760 ST-GREGOIRE;DARTY RENNES;-1.692256;48.1351335
Rue du 8 mai 1945 - Zone commercale du Parquet;73300 St Jean de Maurienne;DARTY SAINT JEAN DE MAURIENNE;6.3598198;45.2737087
Lieu dit Les Glairons ZAC des champs roman;38400 ST-MARTIN-D'HERES;DARTY ST MARTIN D'HERES;5.7691206;45.1846156
261, avenue des 5 Ponts, Parc d'activites du chemin d'Aix;83470 ST MAXIMIN LA SAINTE BAUME;DARTY ST MAXIMIN LA SAINTE BAUME;5.8512444;43.4551613
24 Place des Halles Centre Commercial;67000 Strasbourg;DARTY STRASBOURG LES HALLES;7.74173;48.586487
329 avenue de Colmar;67100 STRASBOURG;DARTY STRASBOURG LA MEINAU;7.7415594;48.5485618
1 rue de la scierie;94370 SUCY EN BRIE;DARTY RETRAIT SUCY;2.503073;48.7684402
Rue du Linkling;57180 Terville;DARTY THIONVILLE;6.1400028;49.3521739
Centre Commercial Belle Epine;94320 THIAIS;DARTY RUNGIS;2.3718687;48.7566506
29 Avenue Leo Lagrange;63300 THIERS;DARTY THIERS;3.5354065;45.8494035
150 Avenue Emile Zola;79100 THOUARS;DARTY THOUARS;-0.2055719;46.9961941
8 Place Esquirol;31000 TOULOUSE;DARTY TOULOUSE ESQUIROL;1.444394;43.6005949
Centre Commercial de la Petite Arche;37100 TOURS;DARTY TOURS NORD;0.6989612;47.4275643
ZAC DU CLOS DES ANTES;76410 TOURVILLE LA RIVIERE;DARTY TOURVILLE;1.0993337;49.3268071
ZAC de la Fontaine au Brun Centre Commercial Trignac;44570 TRIGNAC;DARTY ST-NAZAIRE;-2.2081195;47.3026233
Parc d'Activite Citea, Avenue de Ventadour;19000 TULLE;DARTY TULLE;;
1200 Route de Remoulins LD Pont des Charettes;30700 UZES;DARTY UZES;4.4262614;43.9916788
6 place Pierre Lubat Les couleures 3;26000 VALENCE;DARTY VALENCE;4.9291642;44.9526726
""" ESPACE CHIREL"" ZAC OUEST ""LES PORTES OCCITANES""";43750 VALS PRES LE PUY;DARTY LE PUY EN VELAY;3.8794097;45.021737
Rue Theophraste Renaudot ZAC de Kerlann;56000 VANNES;DARTY VANNES;-2.7890422;47.6623729
7, avenue charles de refuge, Parc Commercial des Portes de Soissons;02200 VAUXBUIN;DARTY SOISSONS;3.3076837;49.3645318
5 rue Jacques Yves Cousteau, Centre Commercial Val Lumiere;17640 VAUX-SUR-MER;DARTY ROYAN;-1.051247;45.647703
Centre Commercial;62880 VENDIN-LE-VIEIL;DARTY LENS;2.8252892;50.460444
ZI Nord - Rue Albert Thomas;41100 VENDOME;DARTY VENDOME;1.0484024;47.7989245
6 Avenue de l'Europe Centre Commercial Venette;60280 Venette;DARTY COMPIEGNE;2.78225;49.4090526
Allee des Savoies;69200 VENISSIEUX;DARTY VENISSIEUX;4.8594609;45.7171997
Rue Robert Fontesse - ZI Espace de la Motte;70000 VESOUL;DARTY VESOUL;6.1465952;47.6376702
3 rue jean Jaures;03200 VICHY;DARTY VICHY;3.4227231;46.1265334
16, avenue du 19 Mars 1962;18100 VIERZON;DARTY VIERZON;2.0907149;47.2389459
3, Rue de la Plaine - Z.A.C. des Brateaux;91100 VILLABE;DARTY VILLABE;2.4464571;48.5883774
Avenue de la Plesse Centre Commercial Villebon 2;91140 VILLEBON SUR YVETTE;DARTY VILLEBON;2.25334;48.70529
451 Avenue de l'Europe;69400 Villefranche sur Saone;DARTY VILLEFRANCHE SUR SAONE;4.7427771;45.9880121
Centre Commercial WHITE PARC;78670 VILLENNES SUR SEINE;DARTY ORGEVAL-VILLENNES SUR SEINE;1.9835879;48.9293992
364 rue Lavoisier;41350 VINEUIL;DARTY BLOIS;1.3706394;47.5722305
